TIME, MESSAGE
20221228233301, StartLogging
20221228233301, RBtnDown
20221228233302, LBtnDown
20221228233303, RBtnDown
20221228233303, KeyDown
20221228233303, LBtnDown
20221228233305, DRAW_TRIMSTROKE
20221228233305, LBtnDown
20221228233306, KeyDown
20221228233306, LBtnDown
20221228233307, DRAW_TRIMSTROKE
20221228233307, LBtnDown
20221228233308, RBtnDown
20221228233308, RBtnDown
20221228233308, KeyDown
20221228233309, LBtnDown
20221228233311, DRAW_TRIMSTROKE
20221228233311, RBtnDown
20221228233312, LBtnDown
20221228233313, RBtnDown
20221228233314, RBtnDown
20221228233314, RBtnDown
20221228233314, MBtnDown
20221228233315, LBtnDown
20221228233315, RBtnDown
20221228233319, LBtnDown
20221228233320, KeyDown
20221228233321, LBtnDown
20221228233323, DRAW_TRIMSTROKE
20221228233323, RBtnDown
20221228233326, KeyDown
20221228233327, LBtnDown
20221228233328, DRAW_TRIMSTROKE
20221228233329, KeyDown
20221228233329, LBtnDown
20221228233331, DRAW_TRIMSTROKE
20221228233331, LBtnDown
20221228233332, LBtnDown
20221228233333, RBtnDown
20221228233336, KeyDown
20221228233337, LBtnDown
20221228233340, DRAW_TRIMSTROKE
20221228233340, LBtnDown
20221228233340, RBtnDown
20221228233341, RBtnDown
20221228233341, MBtnDown
20221228233342, RBtnDown
20221228233344, LBtnDown
20221228233344, RBtnDown
